api_hnd,module_api_name,argument_no,argument_name,argument_datatype,argument_type,behavior_basic_flag,behavior_complete_flag
1,ntdll_NtCreateFile,0,FileHandle,PHANDLE,OUT,1,1
1,ntdll_NtCreateFile,1,DesiredAccess,ACCESS_MASK,IN,0,1
1,ntdll_NtCreateFile,2,ObjectAttributes,POBJECT_ATTRIBUTES,IN,1,1
1,ntdll_NtCreateFile,3,IoStatusBlock,PIO_STATUS_BLOCK,OUT,1,1
1,ntdll_NtCreateFile,4,AllocationSize,PLARGE_INTEGER,IN,0,1
1,ntdll_NtCreateFile,5,FileAttributes,ULONG,IN,0,1
1,ntdll_NtCreateFile,6,ShareAccess,ULONG,IN,0,1
1,ntdll_NtCreateFile,7,CreateDisposition,ULONG,IN,0,1
1,ntdll_NtCreateFile,8,CreateOptions,ULONG,IN,0,1
1,ntdll_NtCreateFile,9,EaBuffer,PVOID,IN,0,1
1,ntdll_NtCreateFile,10,EaLength,ULONG,IN,0,1
2,ntdll_NtWriteFile,0,FileHandle,HANDLE,IN,1,1
2,ntdll_NtWriteFile,1,Event,HANDLE,IN,0,1
2,ntdll_NtWriteFile,2,ApcRoutine,PIO_APC_ROUTINE,IN,0,1
2,ntdll_NtWriteFile,3,ApcContext,PVOID,IN,0,1
2,ntdll_NtWriteFile,4,IoStatusBlock,PIO_STATUS_BLOCK,OUT,0,1
2,ntdll_NtWriteFile,5,Buffer,PVOID,IN,1,1
2,ntdll_NtWriteFile,6,Length,ULONG,IN,1,1
2,ntdll_NtWriteFile,7,ByteOffset,PLARGE_INTEGER,IN,0,1
2,ntdll_NtWriteFile,8,Key,PULONG,IN,0,1
3,ntdll_NtSetValueKey,0,KeyHandle,HANDLE,IN,1,1
3,ntdll_NtSetValueKey,1,ValueName,PUNICODE_STRING,IN,1,1
3,ntdll_NtSetValueKey,2,TitleIndex,ULONG,IN,0,1
3,ntdll_NtSetValueKey,3,Type,ULONG,IN,0,1
3,ntdll_NtSetValueKey,4,Data,PVOID,IN,1,1
3,ntdll_NtSetValueKey,5,DataSize,ULONG,IN,0,1
4,ntdll_NtCreateMutant,0,MutantHandle,PHANDLE,OUT,1,1
4,ntdll_NtCreateMutant,1,DesiredAccess,ACCESS_MASK,IN,0,1
4,ntdll_NtCreateMutant,2,ObjectAttributes,POBJECT_ATTRIBUTES,IN,1,1
4,ntdll_NtCreateMutant,3,InitialOwner,BOOLEAN,IN,0,1
5,ntdll_NtDeleteFile,0,ObjectAttributes,POBJECT_ATTRIBUTES,IN,1,1
6,ntdll_NtCreateKey,0,KeyHandle,PHANDLE,OUT,1,1
6,ntdll_NtCreateKey,1,DesiredAccess,ACCESS_MASK,IN,0,1
6,ntdll_NtCreateKey,2,ObjectAttributes,POBJECT_ATTRIBUTES,IN,1,1
6,ntdll_NtCreateKey,3,TitleIndex,ULONG,IN,0,1
6,ntdll_NtCreateKey,4,Class,PUNICODE_STRING,IN,1,1
6,ntdll_NtCreateKey,5,CreateOptions,ULONG,IN,0,1
6,ntdll_NtCreateKey,6,Disposition,PULONG,OUT,0,1
7,ntdll_NtDeleteValueKey,0,KeyHandle,HANDLE,IN,1,1
7,ntdll_NtDeleteValueKey,1,ValueName,PUNICODE_STRING,IN,1,1
8,ntdll_NtQueryValueKey,0,KeyHandle,HANDLE,IN,1,1
8,ntdll_NtQueryValueKey,1,ValueName,PUNICODE_STRING,IN,1,1
8,ntdll_NtQueryValueKey,2,KeyValueInformationClass,KEY_VALUE_INFORMATION_CLASS,IN,0,1
8,ntdll_NtQueryValueKey,3,KeyValueInformation,PVOID,OUT,0,1
8,ntdll_NtQueryValueKey,4,Length,ULONG,IN,0,1
8,ntdll_NtQueryValueKey,5,ResultLength,PULONG,OUT,0,1
9,ntdll_NtClose,0,Handle,HANDLE,IN,1,1
10,ntdll_NtCreateProcess,0,ProcessHandle,PHANDLE,OUT,1,1
10,ntdll_NtCreateProcess,1,DesiredAccess,ACCESS_MASK,IN,0,1
10,ntdll_NtCreateProcess,2,ObjectAttributes,POBJECT_ATTRIBUTES,IN,1,1
10,ntdll_NtCreateProcess,3,ParentProcess,HANDLE,IN,0,1
10,ntdll_NtCreateProcess,4,InheritObjectTable,BOOLEAN,IN,0,1
10,ntdll_NtCreateProcess,5,SectionHandle,HANDLE,IN,0,1
10,ntdll_NtCreateProcess,6,DebugPort,HANDLE,IN,0,1
10,ntdll_NtCreateProcess,7,ExceptionPort,HANDLE,IN,0,1
11,ntdll_NtOpenProcess,0,ProcessHandle,PHANDLE,OUT,1,1
